Timestamp,Discord Name (Example#9999) ,Display Name,Your own drawing of a Takodachi! ,Message Submission ,Illustration Submission ,Disclaimer,Message Only,Submission Check,
8/23/2022 5:07:43,TyMoon#6655,TyMoon,,"Congrats on your 2nd anniversary! You've changed many people's lives for the better, including me, and helped them through hard times. I would like to thank you for that. I'm not an artist or anything, so as much as i would like to i cannot draw any celebratory art, but writing a message is the least i can do!",,Yes,x,x,
8/23/2022 15:11:41,Bjorn117#6366,Bjorn117,,"Wah! Congratulations Ina on your 2nd anniversary! Every second you stream is a second that the world is bettered, the impact you have had on my life and the life of so many others is precious to me, for your smile (and a cookie) I would joyfully surrender my soul to you! Thanks again for everything and may you bless us with your presence for a thousand more years! ",EPSON054 - Daniel QM,Yes,,x,
8/23/2022 21:37:20,Gunpla_Uruguay#2485,Gunpla Uruguay,Takoverse Nu megane - Gunpla Uruguay,"Happy 2 year anniversary Ina !!! thank you for everything you have done for us Takos, your confy streams have been a huge support for this old tako while he is working at home, while i´m working with gunpla too ! i´m so happy that our priestess is also a gunpla builder !. 
Keep blessing us with your sweet voice and laugh (and cookies!)

For many more years of #takotime ! we love you ina !  WAH !",,Yes,x,x,
8/23/2022 23:55:59,Jaden-Core#2818,Jaden-Core,,,,Yes,,x,Music Video Submission:  https://youtu.be/zMOUxC_6V9c
8/23/2022 23:57:01,AlterTree#4588,AlterTree,,"WAH!
Hi Ina! Happy 2 year anniversary! It's really crazy to think that all of us TentaCult have been watching you for so long. It has honestly only felt like a couple of months since your debut. I, like many, have really enjoyed all the content you've put out these past 2 years. You stream at the perfect time for me, so I watch almost all your streams. Whenever life and school is stressful, your streams always brighten my day and put me in an unearthly level of comfy. Here's to many more years!",,Yes,x,x,
8/24/2022 2:03:00,kwmd#1785,Neku,Huasodachi - Luis Neculqueo Blanco,"WAH! Good Morning, Afternoon, Evening! Happy 2nd Anniversary Ina!
Thanks for your streams, even though i haven't had time to watch your live stream, still watch the vods when i can. I love your drawing and singing stream. I can't believe how far you've come and how much better you've gotten with Myth. I hope you continue to have fun streams for yourself and the takodachis for a long time. Here's to hoping the next year will be full of fun moments. Thank you for joining Hololive!
",,Yes,x,x,
8/24/2022 2:06:40,Luore#4172,Luore,,"Happy anniversary Ina! Quite a lot has happened the past two years, but it has always been fun. This random Takodachi had lots of fun in the chill streams and all. Looking forward to whatever is coming up next. Thank you very much Ina.",,Yes,x,x,
8/24/2022 2:43:04,Rice#8967,Lance,,"Wah!
Congrats on 2 years!!! I can't believe it's already been 2 years. I just wanna say that you and your content have done so many things for us takes. I have been inspired by your work just like the many other takes out and strive to be a better person who lives a comfy life. Thank you for everything. You are our #1 idol. INA KAKKOII!!!",,Yes,x,x,
8/24/2022 2:43:50,Yamato#1574,Yamato,,"I can’t believe that it’s already been 2 years, I still remember the Call of Cthulhu streams like they were yesterday.
There were some ups and downs this year but even through those rough phases you pushed through and put a smile on all our faces. You always motivate me to push forward with the things I want to do. Thank you so much.
I am really looking forward to what the next year has in store for us. I can’t say it often enough Thank you, and congratulations on your 2-year anniversary Ina <3",,Yes,x,x,
8/24/2022 13:08:20,Doopsie#8647,Doopsie,Takodachi - Doopsie,Wah! Happy 2nd Anniversary Ina!! It's been a wonderful time watching you stream. Thanks for the all the laughing and cozy times that you gave us this year. Let's hope for a wah-nderful time this upcoming year with our priestess :D  I'm proud to say that you're my oshi!!,,Yes,x,x,
8/24/2022 18:08:18,SpeedyBoi#0769,Speedyboi,,"Happy Anniversary Ina! It has been a joy watching your streams and you have been such a cool, amazing, and talented person! Keep being your awesome self! :D",,Yes,x,x,
8/25/2022 3:08:49,Pixelsgamer27#6412,,Untitled134_20220825100458 - pixelsgamer MC,"Congratulations ina'nis you're such an inspiration to me, wish you the best always",,Yes,x,x,
8/25/2022 7:44:27,halords#4624,halords,,"happy 2nd debut anniversary Ina!! i just wanna say thank you so much for the happiness that you've blessed us with for 2 whole years, and we wish that our beloved priestess is having a really WAHnderful time as well!!",,Yes,x,x,Music Video Submission:  https://youtu.be/xgHnR8Ygd6U
8/25/2022 9:59:20,mariafm#8483,Maria Medina,5AACD0E7-AC1D-46D8-A381-E63DBA44F205 - Maria,,C9721658-F226-49F4-B37E-2274264C4017 - Maria,Yes,,x,
8/25/2022 17:34:03,Cyber Toast#2302,Cyber Toast,20220825_142539 - Cyber Toast,"Happy 2nd anniversary Ina! It was because of your content that I was able to connect with so many other amazing fans, especially during CRX and I cannot thank you enough for it. We love you Ina!
 I say wah you say wah!",,Yes,x,x,
8/25/2022 21:17:20,Rifted#0001,Rifted,Takoverse - Rifted,"Hi Ina, thanks for the great streams and highlights, they make me laugh :D",,Yes,x,x,
8/26/2022 8:42:19,ikkue#3502,ikkue,Takoverse Tako Character - ikkue,"Happy second inaversary Inyaaaaaaa! Thank you for all the fun, entertaining, and comfy streams these past two years! Been a takodachi even before your first debut stream, because I fell in-love with your design and personality on Twitter since day one! Although, I always get the amount of months I've been a member on YouTube for wrong (because it glitched one day and reset my count, so it's inconsistent now). I hope there will be many more inaversaries to come! WAH!",,Yes,x,x,
8/27/2022 8:08:14,Tacchan#4176,Tacchan,,,Ina 2nd Aniv (message ver) - Tachigare,Yes,,x,
8/27/2022 9:57:24,Llych#4836,Lilycha_,,"WAH! Happy 2nd Anniversary Ina!! Just wanted to say thank you for all the good times you spent with us. To be honest, I still don't understand why you perceive yourself as a boring person when literally, you’re one of the coolest people I know. I hope you continue to inspire others, especially the artists, through your amazing art. I’ll continue to support you as much as I can no matter what and be proud to call myself a Takodachi. Love forever 💜",,Yes,x,x,
8/27/2022 22:04:31,Extraordinaire#5016,Proteus,Takodachi Cooke - Extraordinaire,"I can't believe its already been 2 years... I don't wanna get all poetic and sappy with this(and I'm on a strict character limit lol), so I'll just say this. Thanks for being so comfy, I don't have any other English Vtuber that I can just tune in to or pull up a VOD of and run in the background while I work, do art, or even just fall asleep(not that that's a bad thing òwó). Not that being loud, hyper, and lewd is bad, it just gets a bit tiring. So thanks, thanks for being so wholesome and chill.",Ina Unbound - Extraordinaire,Yes,,x,
8/28/2022 14:37:48,Granlitar#8096,Granlitar,Takoversary - Gran Litar,"Happy anniversary, Ina! The last two years feel like they've flown by as a fan, so I can't imagine how crazy it must feel for you!
You've made so much progress on your journey since joining Hololive, and overcome many troubles (especially this last year, haha) to create some truly beautiful projects. 
You and the other Myth girls have become an irreplaceable part of the Hololive family, and I couldn't be prouder to be a Tako and part of this community. Here's to many more fun adventures to come!",,Yes,x,x,
8/29/2022 18:22:50,PSIclops#6940,PSIclops,PSIclops Tako - Julian Hernandez,"HAPPY ANNIVERSARY PRIESTESS! It's hard to believe it's been just over 2 years since I fell into this rabbit-hole. You're streams have been a huge joy and inspiration in my day-to-day life since the day you debuted, and I look forward to the memories to be made with you and my fellow Takodachis in the coming years. Love ya, Ina.",,Yes,x,x,
8/29/2022 22:11:12,Parabxlic#0292,kami,Takoverse - Jasmine Chen,"Happy anniversary Ina! Thank you for everything you have done throughout your entire time in Hololive! Everyone is very proud of all you and the rest of EN has accomplished. You were one of the main reasons I became a Hololive Fan! You are very inspiring to all of us, thank you for being such a kind, funny, and motivating person. Your streams always manage to lift my mood and you have helped so many of us by just being you. Happy anniversary Ina! Lots of love from all of us. :)",,Yes,x,x,
8/30/2022 10:47:23,夜靈#8049,Linya,,"Thank you for always bringing us joy, we will always follow our priestess, happy 2nd anniversary!",ina2022-1 - 呆呆,Yes,,x,
8/30/2022 13:25:13,marsh#2299,Marsh ,,"Happy anniversary Ina! These past 2 years with all of the myth members and you have been such a blast! I wanted to thank you for always doing your best and putting in effort into everything you do for us takodachis and for Hololive! All of us are so proud of how far you’ve come since debut! You’ve impacted so many lives including mine for the best and have made my life feel more inclusive and enjoyable. Once again, happy anniversary to you and the myth girls, enjoy it to the fullest ^v^!",,Yes,x,x,
8/31/2022 12:38:09,白瑞麵包#0281,BreadART,Takodachi - 白瑞麵包,"Happy 2nd Anniversary Ina!
I am very happy to meet you, and thank you for all the wonderful times you have given Takodachis all. Wish you always healthy and happy!
WAH!!!",Ina - 白瑞麵包,Yes,,x,
8/31/2022 21:32:45,KyuuB#9484,KyuuB,KyuuBTako - KyuuB,"Congratulations Ina and Myth on your 2nd anniversary! I can't believe another year has already passed. I wanted to thank you for entertaining us and being such an awesome person. All the work you've put in, big or small, has without a doubt made a difference. I remember you saying the beginning of this year was difficult, but I hope that your year has gotten better. I'm wishing you good luck and an even better season 3. Congratulation and thank you again. Wishing And Hoping for the best. ʕ─‿‿─ʔ",,Yes,x,x,
8/31/2022 21:40:30,Legitory#1747,,Takodachi  #1747 - Legitory,"Congratulations on the 2nd anniversary Ina!! I can't believe it has been two years already. It has been a tough year for you to experience all the technical and health issues, but you got through it! I'm so glad to see you going out, meeting friends and finally settle down with the new office. Hopefully the up coming year things can go smoother, and please don't push yourself too hard. WAH",,Yes,x,x,
9/1/2022 1:59:53,Ossu#4020,Ginfutsuu,,,Inaversary - AkaGin,Yes,,x,
9/1/2022 3:13:25,kinokoneko1027#3126,Kinoko,KinoTako2 - Alex Fung,"Happy Second Anniversary Ina! I can't believe its been a year, time flies when we are having fun. In this period of time, I graduated from University, moved out of the time zone you are most often streaming in, transformed into a VOD Tako and an Office Worker Tako, but this doesn't stop me from enjoying your content when I get home. In appreciation I drew you a continuation of the ink drawing I drew earlier this year, I hope you like it! I appreciate what you have done for all of us Takos.",Kinoko_2nd_Inaversary_Artwork - Alex Fung,Yes,,x,
9/2/2022 4:15:03,Tako#0079,TakoEats Deliveryman,tako - TakoEats Deliveryman,Happy Anniversary Ina! It's been 2 years and I'm so happy that I became a Takodachi. Simply being with our Priestess and having your voice is a bless. I couldn't really catch your stream due to timezone issues but that means TakoEats is a globally developed company! By the way can I ask for a raise? ,ina_Anni_2 - TakoEats Deliveryman,Yes,,x,
9/2/2022 4:36:12,GenesectX1#6972,Geneee,GenesectX1_Takodachi - Genesect,"CongWAHts on your Second Anniversary Inaaaa! Been a huge fan for more than a year ever since I randomly woke up really early morning (SEA gang lmao) and decided to watch your stream at the time (although I only lurk cause I'm too shy to chat lol). Thanks for all the comfy streams Ina! Keep it up and I hope you get to make more wonderful memories with the other holomems and the takodachis. Soon enough, we'll be able to tako-ver the world!!! Conrgats again, Ina!",,Yes,x,x,
9/2/2022 10:57:47,Mr.B ( D4 TFT )#6010,Hà Xuân,Takodachi pt 2 - Hà Xuân,"2 years already? That was fast Ina!
2 years, but full of memories. From the first debut, to smol debut, following by 3 outfit debut, and 3D debut during the Holofes. And let's not forget your first ever off-collab with all the Myth girls as well!
It's been a crazy year, Ina, and I want to say, thank u for all the moments and memories u gave to us, and congrats on your achievements. Keep being wholesome, as our tako priestess always be.
And finally, happy 2nd anniversary Ina ! ",,Yes,x,x,
9/3/2022 9:21:26,Erryl Morningstar#5366,Iwanuma,,Happy Anniversary! Thank you for all the fun and cozy times you've given us for these 2 years. Here is hoping to many more to come!,inya - Lucas Ychisawa,Yes,,x,
9/4/2022 2:39:09,Lady Kaya#0575,Kaya Asteri,tako - Kaya A,Happy Inaversary! We love you and are excited to see what this next year will bring you! ,Happy Inaversary - Kaya A,Yes,,x,
9/4/2022 17:42:16,OoXKami#3609,OoXKami,Tako - Jeremy Tang,"Happy 2nd Anniversary, Ina! It is amazing to see how far you and the other Myth girls have come since debut. Thank you for always being the comfiest ""human"" known to man. Hopefully, you and everyone else will be able meet up in Japan soon. I look forward to seeing what the future holds for you all!",,Yes,x,x,
9/5/2022 4:51:31,Cipher#2345,RaoCipher,Takoverse2 - Pin Ru Ho,"Thank you Ina for debuting. Many times I've wanted to give up, but seeing you draw motivated me to continue working hard and improving my art. Your streams are very relaxing and comfy. You made these past 2 years enjoyable, especially during these hard times. Let's keep working hard together! And I wish you the best in the future as well!",Takoversary2022_04_smaller - Pin Ru Ho,Yes,,x,
9/5/2022 7:49:48,Nogrick#6970,MachFighterG ,,"Ina, thank you for 2 years of puns, art, and truly WAHnderful times! Our takodachi family always enjoys watching you stream, especially our little tako, who always “WAH”s around the room when your intro screen comes on. We all hope this next year is full of good things for you, and we look forward to seeing what you’ll do next. Happy Anniversary!",,Yes,x,x,
9/5/2022 18:44:23,KShut#0339,kshut,takodachi_1 - Kenneth Shuto,"Happy inaversary once again Ina!  I've been able to do work harder recently, knowing that I can come back to your comfy streams. You and all the other holomems are always a joy to watch and never fail to lift my mood. Keep having fun Ina!",more ina - Kenneth Shuto,Yes,,x,
9/5/2022 19:27:06,Homurakuma#0815,Homurakuma,,Ina ina ina~ Thank you for yet another year of fun. You're an inspiration to us takos and here's to yet another year~ iina~,,Yes,x,x,
9/5/2022 20:11:24,Rezileen#1800,Rezileen,rezileen-tako - Rezileen R.,"Happy 2 year anniversary Ina! I can't believe it's already been 2 years since you've graced our lives with your comfy vibes and beautiful art! I recently just moved into a new place as well, so I can relate to all your recent move-in stories. It's always so enlightening hearing your perspectives on life and moving forward. さすが of our insightful priestess! Congratulations on the smooth move as well as all the amazing things you've accomplished this year! And a 頑張って for the next year as well!",,Yes,,x,
9/5/2022 23:56:02,Requiem#6901,Requiem,3A9D607B-539F-417F-B506-1C62E7B51D13 - RoadFlash 65,Happy 2nd Anniversary! Wah!,4DE8D879-29C7-4B5B-876C-82FA1EA6AC6F - RoadFlash 65,Yes,,x,
9/6/2022 0:16:35,chumbeque🐙#4886,Chumbeque,Takoooo (1) - chumbeque,"Congratulations Ina! it's amazing that it's been two years that I've been able to be happy again. Thank you for all the effort you put into everything you do. I still remember when I saw the world in a very dark way until a priestess captivated me with her personality, talent and humor. I have always been a very shy and reserved tako but thanks to you I have been able to interact more with people, even though many times I feel uncomfortable with some topics. Season 3 let's gooooo WAH!",,Yes,x,x,
9/6/2022 2:06:48,GrandShishou#8502,Hoshi,tako - mango keki,happy anniversary ina! youre a big inspiration to me and so many other artists! :} keep being your wah-nderful self!!,ina - mango keki,Yes,,x,
9/6/2022 2:07:08,Light Aether#7559,mcoyne,,"I'm so glad to have found you and the rest of EN, glad you got your hugs in the off-collab, happy 2 years, and here's to many more!",,Yes,x,x,
9/6/2022 2:09:21,pissking#8630,MDViper,,"Thank you Ina for providing a comfy environment for us takos to spend time in, your streams are some of the most relaxing times i experience, and I hope for at least another year more! PS gunpla stream when",,Yes,x,x,
9/6/2022 2:10:08,ShumpireMadness#8149,ShumpireMadness,,Thank you for your 2 years of continued wah's. May whatever endeavour you partake in have glorius success.,,Yes,x,x,
9/6/2022 2:11:05,Rozenbach#2193,,,"Happy Anniversary Ina, thanks for giving so much love to every single one of us viewers.",,Yes,x,x,
9/6/2022 2:11:39,Norenche#9328,Norenche,Tako3D - Ferran Beltran,"Happy second anniversary! It's been already 2 years since we saw the start of this journey and Myth's and I can say that this has been an amazing trip. We as takos have seen you grow and we have been inspired by you in taking up again some hobbies and TAKOing things one at a time. This EU Tako is thankful for all the fun times we've had so far and for all the WAHs we'll get in the future! We Are Happy, We Are Hype, We Are Here, We are Hor- *ahem* Hungry. Where did I leave my cookie?",,Yes,x,x,
9/6/2022 2:12:57,DarkViking#3583,DarkViking,,"Congratulations on the 2 years Ina and fellow Takodachis, the years flew by but we had so much. Thank you for these wonderful 2 years. Also world take over progressing smoothly o7.",,Yes,x,x,
9/6/2022 2:13:15,jamie_97#0742,AlphaCas,Tako_AlphaCas - Jitrapon Lertprasertpong,"Ina >-<
Congratulations on 2nd anniversary! I can't thank you enough for being my inspiration in doing digital art. My art has been improved exponentially thanks to the techniques I learned from your drawing stream. Also, thank you for all the comfy streams! I am looking forward to more fun moments next year!",,Yes,x,x,
9/6/2022 2:13:48,calzone#1881,PringleBird34,,Thank you for all the work and support you’ve put out in the past two years! It has helped me and many others all across the world! We appreciate you and everything you do! From a fellow takodachi!,,Yes,x,x,
9/6/2022 2:15:41,takodachiwaffle#4501,takodachiwaffle,tkdcwaffle - Brian Ej Amio,Congratulations on your Inaversary!!! Thanks for being such an amazing priestess. We are all wishing you even greater times ahead!,,Yes,x,x,
9/6/2022 2:16:58,Shinkai Setsuna#9451,Shinkai Setsuna,Tako - Shinkai Setsuna (Shinkai Setsuna),"Happy happy 2nd anniversary Ina! I can't believe it's already been 2 years since you've joined Hololive, and become a light in everyone's lives! There are so many things that I appreciate about you and your streams, but one thing that has stuck with me is how close you are with your family. Hearing stories about Mama'nis, Papa'nis, and Ane'nis has inspired me to make the effort to connect more with my own family, and to treasure every moment with them. Here's to another WAHnderful year!",,Yes,x,x,
9/6/2022 2:17:30,DA_4289#0346,DA_4289,,"Happy Anniversary INA!
It's been 2 yrs. already huh?
If you think about it, it's still a relatively short amount of time given how fairly new V-tubing is.
Even so, you have accomplished so many things and have gotten past many hardships.
Still, I know there will be further trials and milestones for you climb but I know you'll get through them.
Just want to thank for doing your best and whether intentionally or not, inspiring us Takodachis to do the same.
Here's to another year and more!",,Yes,x,x,
9/6/2022 2:19:45,Brawlman876#0876,Brawlman,My Stupid Takodachi - Brawl Man876,"Thank you so much Ina for your wonderful streams and projects that you give us. I always have such a chill time in your streams. Every time I'm in your streams it has been a good fun time and even when you are collabing you still bring so much whether just your fun personality, your cute little drawings you add in everywhere, or your all around presence just makes it 100% a better experience!! Looking forward to even more stuff from you!",,Yes,x,x,
9/6/2022 2:20:05,Jabber#9546,Jabber,Tako - Jabber,"Inya~ Omedetako for another year as member of Myth!! Im really grateful and happy to be part of this amazing and wholesome community and thank you for all the comfy and fun moments we have spend together,  I really love you and all the cute Takodachis outside there and hope that we can have much more fun the next year too, that all your wishes and projects go well and that this message is enough distraction to let me go for the squishy~",,Yes,x,x,
9/6/2022 2:26:22,Cole_kg5#5227,Cole,,"WAH! Congratulations Ina! I can't believe it's been two whole years since the comfy priestess graced us with her presence and gave us (and me) so many much-needed moments of joy and cookies and backs...ahem.
With everything you do for us takodachis, you've made a lot of people's days and I hope you can continue to keep enjoying being our priestess for many more years to come. But remember to stay healthy and take breaks when you need it. The quest for world domINAtion can't happen without you!",,Yes,x,x,
9/6/2022 2:27:36,Not Teng#6269,Tang,,Happy two year anniversary Ina! I hope you get to enjoy this celebration with lots of friends and yummy food. Thanks for making such a comfy community! :D,Inaversary 2022 - Aaron Tang,Yes,,x,
9/6/2022 2:30:37,FilteredTea#6221,FilteredTea,Tea_Tako - FilteredTea,"Happy Anniversary Ina! I've been a tako for quite a while now, and it's been a fun ride getting to watch you get into so many shenanigans for the past year or so that I've been watching. We've even seen our magical priestess in the realm of 3D, which is still kind of wacky to think about. I wasn't able to think of an illustration to do this time around, but I hope this message works just as well for the priestess. Here's to the many streams ahead and joys to be had, Wah!",,Yes,x,x,
9/6/2022 2:36:15,🪐⚓😈AqukinConstructionWorker⏳☄#2801,Theodor Hembra,,HAPPY INAVERSARY INA. Wow 2 years huh. Ive only started watching you a year ago and it was a struggle getting up at 5 am my time to watch you. But on the bright side you helped my sleeping schedule so thank you. How are you? I hope you are well and not sleeping on the floor as often. Thanks for the streams and the chill streams and i hope that you and the en girls receive more successes coming your guys way. Thats all from me. Wah ,,Yes,x,x,
9/6/2022 2:37:19,SehrEuphonic#8844,SehrEuphonic,Takollite - SehrEuphonic,Con-WAH-lations Ina on your second anniversary! I hope to enjoy many more tako times with you and my fellow takos! \(=w=) /*~*~,,Yes,x,x,
9/6/2022 2:43:24,Smaltin#2208,Smaltin,Smaltin_Takoverse - Smaltin,"Wah! Happy Anniversary Ina! I've been watching you a lot, I can't even believe it's been two whole years since your debut! Watching your comfy streams has helped me remain calm and focus through stressful times, and I hope you continue to provide the stress relief I need through your streams. Thank you again for being such a wonderful streamer and I wish you the best as you continue through 2 years!",,Yes,x,x,
9/6/2022 2:43:49,Itsyoboibrent(#5273),Brent,,WAH-ppy 2nd anniversary Ina! Your streams are always so comfy to watch and you always manage to make bad days better! Wish you all the best and looking forward to spending another year watching and supporting you!,,Yes,x,x,
9/6/2022 2:44:52,Avros#7053,Avros Kyargath,Avros Tako - Avros Kyargath,"Hey Ina, Hope you have a wonderful anniversary. Its been a fun journey alongside you and all of the other Takodachi to get this far and I can't wait to see where the next year takes us all! Hope you have a great time along with all of Myth in celebrating this milestone together",,Yes,x,x,
9/6/2022 2:51:10,UnstoppablePhoenix#5692,UnstoppablePhoenix,,"Happy anniversary Ina! From the first wah to now, there's been a lot of really fun moments with both you and with your genmates too! Can't believe 2 years have already gone by so fast, and I can't wait to see what another few bring! ",,Yes,x,x,
9/6/2022 2:53:00,Elgrim#6496,Elgrim,TakoPFP - Ville Hyytiäinen,"Happy 2nd AnnINAversary!
So much has happened during these two years. You have given us amazing content and it has been nice to see you finally meet your gen mates and having you on stage singing and dancing. Hope you are getting comfortable in your new office and can't wait to see what fun content you shall bring to us next.
We are so proud of you Ina! Thank you for being here for us!
WAH!!",,Yes,x,x,
9/6/2022 2:56:04,maruko#5959,marukomanda,,"W A Hello, Ina! Happy 2nd Anniversary!!! 🎉

Thank you for always inspiring me to get in touch with my creative side and most importantly, being chill. I remember I was also getting back to drawing and I really enjoyed the comfy Gesture Drawing streams(a cheat code to learn anatomy). Life can be stressful but you've become a reminder that everything will be alright. So thank you. Thank you very much. 🤗

(and here's a past artwork of u that I never submitted until now, hope you like it!😁)",IMG_20210521_085959_568 - Maruko Manda,Yes,,x,
9/6/2022 3:07:28,Jamnut#8844,Jamnut,Takoverse - Matthew CHAU,"Hi Priestess Ina! Happy 2nd anniversary! This year went by fast and just as us takodachis have watch you grow into a greater and greater idol, I have also grown from being an initiate in the tentacult to being a silver takodachi just a month ago! My journey through being takodachi has been amazing as I met a lot of takos along the way as well as other fans of other holomems. I just wanna express my gratitude to you for how WAH-nderful you are!",,Yes,x,x,
9/6/2022 3:15:25,Choii♡#9713,PoppuTart,,"I'm so sorry for not drawing since i have college but I'm so happy for you to have your 2nd Anniversary! It's been a Wah-nderful journery with you Priestess and i hope you continue to have fun with your life as our one and only Ninomae Ina'nis!!!

- Female Tako Wahhh <3",,Yes,x,x,
9/6/2022 3:16:36,TeaWater#6004,白毛Shirage,Takoverse_TeaWater#6004 - 白毛Tachio,"Happy 2nd Anniversary Ina! WITNESS FIRST GOLDEN TAKO!!!
Thank you for all the fun memories this year!
Let's have more fun and wonderful year toGETHERRRR",,Yes,x,x,
9/6/2022 4:00:55,EvaCh#9814,EvaCh,,"Happy 2nd Year Anniversary Dear Ina!!
The best part of my life is finding an Oshi like you.  Really enjoy your streams, brings me joy and peace.  May you celebrate more years together with Takodachi!  Congrats, and be blessed. WAH!",,Yes,x,x,
9/6/2022 4:17:50,JakkJakk#0945,Jakklin,pfp_tako_old - Jakklin,"Happy Anniversary Ina! I can't believe its been 2 years already. Time seems to fly these days,  I'll be a gold Tako soon! Looking forward to another year with my favourite Priestess~  ",,Yes,x,x,
9/6/2022 5:00:46,nomuu#9461,nomu,NomuTako - nomu,"Happy 2 years anniversary Ina! Wow, 2 years huh? Time sure goes by fast. I feel like a proud mom seeing you grow over the past 2 years. It has not been an easy journey but I admire that you guys never give up and still push through, no matter what the problem is. Myth made me more optimistic that everything will work out in the end, no matter what. 

Thank you for everything that you guys do for us fans. Looking forward to another year full of memories! ",Ina 2 years - nomu,Yes,,x,
9/6/2022 5:03:25,Zerks#8008,Zerks,,"Hey Ina, congrats on the ina-versary! I’m sure you’re overwhelmed with emotions right now but I just wanted to say thank you for all the fun times you’ve given us over the past two years. There’s been plenty of fun stories to tako bout. To many more years to come!",,Yes,x,x,
9/6/2022 5:22:12,서재형#0688,서재형,tako - 서재형,"Congratulation on your 2nd anniversary!!! I'm a student in Korea. I started watching you since early last year, and I can't believe it's already been more than a year! I'm really happy for you!! I hope you have a nice, wonderful, and happy day!! We are happy! We are hype! We are here! We are hor-",,Yes,x,x,
9/6/2022 6:28:57,Sm0g11#3194,,,,Project (20220906062600) - Joshua alejo,Yes,,x,
9/6/2022 6:59:09,Wkang#7817,Wkang,Takoverse - WKang,"Wah~ Hello priestess! Happy 2nd Year Inaversary! I've been a Takodachi since your debut, right around the start of my second year in university. I have since graduated with a Bachelors with First Class Honours! A large part of being able to pull through and finishing school is knowing that after a long day, I have a comfy oshi and amazing community of Takodachi to make it better. Thanks for being you and here's to many more Wahnderful years to come! ",,Yes,x,x,
9/6/2022 7:02:13,AuditeVoez#2687,Auditea,,Happy Anniversary Ina! Thanks for being the person who continues to accompany many people and make their days just a bit more relaxed! ,,Yes,x,x,
9/6/2022 7:28:54,Sigelfate#8897,Sigelfate,,"Happy 2nd WAHnniversary Ina~! Watching your growth during the past 2 years has been so motivation and inspiring to us all, and we Takodachis will continue to be there for you all the way moving forward! Sending all our devotion and love to our beloved Priestess! WAH!",,Yes,x,x,
