user,icon,message,image
NowaruArt,6.png,"Happy Birthday Ina!
I'm a big fan of yours! Your artwork always inspires me, especially on tough days both as a person and as an artist myself! I also love your singing and idol performances which I always look forward to more of them! Thank you for being here and bringing spirit and joy to my life!",70.png
Specxlaw,15.jpeg,Happy Birthday!! Thank you for all the laughs and puns… even if the puns pain me!! I will try to be a better artist bc of your inspiration! We Are Happy! WAH!,14.jpeg
Boubon,,Happy Birthday Ina! You are the best!,
Kinoko,20.png,"Happy Birthday Ina! I hope you have a great birthday! I've created piece based on ""Boy with Basket of Bread"" by Evaristo, I hope you liked it! Even though I don't frequent in live streams as much, but I'm always watching all your VODs when I'm not busy! I'll keep supporting you as always!",54.png
popop,48.png,Happy Birthday Ina. Thank you for being the comfiest oshi we have. We wish you another successful year full wahs and cool moments together.,37.png
NowaruArt,6.png,"Happy Birthday Ina!
I'm a big fan of yours! Your artwork always inspires me, especially on tough days both as a person and as an artist myself! I also love your singing and idol performances which I always look forward to more of them! Thank you for being here and bringing spirit and joy to my life!",70.png
Gingiro,,"Happy birthday Ina! Glad to see that you are still going strong. Thanks for creating such an amazing community - Takocult. Because of takos and you I started to love puns even more and use them more often. Stay cool as cucumber(hehe), comfy and cute as you are now. For the world domINAtion!",
Takedo,50.png,"Hi Ina, Happy Birthday! It's been 4.5 years since you debuted, and it's always such a blast when I watch you. Despite not being able to watch you as much as before, you always end up uplifting my spirits whenever I got to. Here's to more happy times to come!",
Delfryngr,,Happy Birthday Ina!,28.png
_no,,"Have a WAH-nderful birthday Ina!!! Thank you for bringing us together as a community and giving us a place to relax and have fun with your streams, music and dedication to all of us!",
Blod Wid,,"Hi Ina, HAPPY BIRTHDAY!!! Today is also my birthday! I'm always expectating for your birthday live or your merch, it makes my birthday also feels a little more special. I'm so happy for having you as my Oshi. Thanks for everything. I LOVE YOU! WAH!",
keoqzzi🍜,55.png,Hahahappy BIRTHDAY!! INA!,79.png
Jaboll252,42.png,"Happy birthday, Inner!
I am elated to be ""stuck"" here with you for yet another year. If one can even say they're stuck at home - because that's how you feel to me. Home.
Thank you for being a respite. An oasis of calm against the stormy outside. The not-so distant, very reachable Takotime utopia.",
Oki Doki,,WAH! Happy Birthday Ina !! Thank you for being such an inspiration and a comfy place to hang out. As an artist I always look forward to your art streams and learning little tips and tricks from you. I hope you have the greatest day! <3,48.png
Arthain,2.png,Happy Birthday Ina! You've done so much for me these past several years. I'd be in a very dark place mentally without your comfy streams. You've helped me through so many difficult times and I just want to show my appreciation! Here's to a happy birthday and hopefully many more!,
Squirl,40.png,"Happy Birthday to our dear Priestess!!! Thank you always for bringing so much joy in our everyday life, and for taking us Takodachis into wonderful rides through all the Takotime we spent. Best wishes and Love lots from us! = w=)7",68.png
SeaRain,59.png,Hello Ina and happy birthday ! I have been following you since 2022 and your streams were always a comfy place to stay. You also motivated me to start drawing and ima keep that grinding arc to share your cuteness with the takodachis !,46.png
the_tako_pooh,,"Happy Birthday, Ina!
Your streams have always been a mental support for me. The calm and comforting vibe you create has healed me whenever I’ve felt down or tired. Thanks for the wisdom you share and the joy you bring to all of us Takodachis. Wishing you a wonderful birthday once again!",
MizTyck ,,HAPPY BIRTHDAY INA!!💜💜 I hope you're having an awesome birthday and are able to enjoy everything. I just wanted to let you know that you're really important to me and I'm just happy to be able to watch another Ina birthday!!!,
Nalds,,Happy Birthday Ina!!! Hope you are doing well and happy in your special day! More birthdays to come and we will keep on supporting you!,
お兄ぎり,26.png,HAPPY BIRTHDAY INAAA!! WAH <3,
Zel Maelstrom,69.png,oTAKOnjoubi Omedetouuuu Inaaa!!!! ,56.png
Zel Maelstrom,69.png,,11.png
Aina,,"Happy Birthday, Ina!
I’ve always adored your artwork.The techniques and insights you shared during your livestreams have helped me grow so much—thank you for everything!
Wishing you endless joy and happiness in all the days ahead! ",13.jpg
Raigan,,"Priestess thanks for always been that oasis where we can find confort, you are the rason i started exploring art, here is a bit of what i learn is not much but every small bit counts in world domINAtion slowly. Happy Birthday.",0.png
Momorinn,,Happy Birthday Ina!! May you have a WAHnderful day :D,
柳ありさ,,"Happy Birthday Ina! Its 5 years of WAH! I have always admired your relaxed energy and your skills in illustration, gaming and cooking! I hope this year will give you more opportunities and you to be happy and healthy. Love you so much! WAH 🐙",2.png
Jamu(ta)ko,19.png,Happy birthday Ina!! Another year has passed! I wish you many tasty cookies... maybe even made with recipes from some takos here...!! OwO,67.png
RiDeth,33.png,Happy Birthday Ina! Another year miraculously preserved in memory :D,
BandaiNenzai,,"Happy Birthday Ina! Here's to another year of you being your comfy, calming, cute self. I wish you all the best for this year and am grateful for the time that you spend with us.
WAH",
RCSI,28.png,"Happy Birthday, Ina! May you have a good one with lots of delicious foods and good friends to celebrate this special day!! May your future be ever brighter with fun activities and projects!",61.png
Synnrad AKA Eric,,Happy birthday Ina! So happy to celebrate another year of your WAH-derfulness! You've been working really hard and I'm enjoying all that you're able to do and show us takos. I'm looking forward to your birthday stream and hope that I'm able to watch it live! Heres hoping for many more amazing years!,
gathog,,"Happy Birthday dear Ina! Wishing you a great day with good health, happiness and lots of cookies :). Thanks for being with us for all these years and hope we can celebrate many more birthdays with you. WAH!",
Neminem,,"Hello Ina! I'm not much of an artist so I won't have an art to submit with this message, but I hope you have a great year! I can't wait to see your future projects and I look forward to all your comfy streams! <3",
SharkyDoko,30.png,"It is exactly THE day! The day of the wahmbassador, our priestess, and most importantly our beloved Ninomanyo Inya'nis!!!
Thank you for bringing so much joy and wisdom to takodachis, Ina really made my life even more Wahnderful~!
Happy Birthday Inaaaa~~~~~ =w=)/",38.png
GreenFox,64.png,Happy Birthday Ina! 💜,44.png
,71.png,"Happy birthday Ina
Thank you for all past years because of you I started to draw
I am grateful to become one of the Takodach
I am grateful when I was really down I see your first stream become EN fan become Takodach…
At least Happy Birthday again Thank you for everything.",82.png
Aina,,"Happy Birthday, Ina!
I’ve always adored your artwork.The techniques and insights you shared during your livestreams have helped me grow so much—thank you for everything!
Wishing you endless joy and happiness in all the days ahead! ",13.jpg
Nyuusai,25.png,"WAH! Happy Birthday Ina, hope you have a WAHnderful day with all the cookies you want, can't believe it's been almost 5 years, as always, thank you for being such an inspiring oshi, I'll forever treasure my memories with you and all the Takodachis, let's keep doing our best and perusing our dreams!!",39.png
,,"Happy Birthday Ina! Thank you for all the cozy streams, hope you have a great day!",34.png
Meap,46.png,Wah,5.jpg
Tung,67.png,"Thank you, Ina, for your always comfy streams. I’ve been quietly supporting you all this time, and this time I wanted to try writing a birthday message!
Happy Birthday to our adorable Priestess! Wishing you a fun and relaxing day—enjoy some yummy food too! WAH!",
Ameneme,,Happy birthday Ina!!! Thank you for always keeping such a comforting yet enjoyable vibe within each of your streams. It has been a pleasure to watch you for about 3 years now and I can't wait to see what you choose to do in the future. Have an WAHnderful time on your special day! ,74.png
Quexiana,,"Happy Birthday Ina! Thanks for celebrating another birthday with us. Your streams always manage to motivate me and draw a big smile on my Face. Speaking of Smiling, I drew you outside having fun :D
I hope you have a big smile on your face too. Today as well as the rest of the year!",60.png
,,"Happy Birthday Ina! Thank you for all the cozy streams, hope you have a great year!",34.png
Takomonty,57.png,"I say this every year, but thank you for inspiring me to pick up my stylus again. And thank you, Calli, and Kiara for lending your voices to Wunder Riku's 'The World Outside'; I have no words to describe the joy in my heart from being able to work together with you all to send off our dear shark.",75.png
WindStreak,52.png,"Happy Birthday Ina! I'm glad that I'm able to celebrate with you this year as well! My birthday draws near as well so I suppose it's happy birthday to us both! Thank you so much for all of the streams this year as well, as well as all of your hard work! Your drawing skill continues to inspire me!",
,11.png,"Happy Birthday Ina! Thank you for all the cozy streams, hope you have a great year!",34.png
SleepzyTofu,66.png,Happy Birthday Ina hope you have a fun and peaceful year! And eat a lot of yummy food~ WAH!,26.png
Valtaur_tw,12.png,Thank you Ina for existing!!! ,8.png
Masanobu Maou,,,
Lethargic,18.png,"WAH!!
Happy Birthday Ina!!
This year marks 4 years of you celebrating your birthday with us and 5 years since you have given us sanity checks. Since then, you have always been an inaspiration for takos whether it be onstage or on a comfy homework stream. Have a great birthday!! ",50.png
Tahi,34.png,Hapihapi birthdayyy !!!,73.png
Jasu,,"Happy Birthday to the best AmiAmi WAHmbassador!! Thank you, Ina, for being Ina! =w=",52.png
Drebyal Draws,38.png,Happy Birthday Ina! Congrats on another year! May your mornings be sweet and your evenings be pleasantly tranquil—We Takos hope you get to have more fun this year.,43.png
kirintako,,"Happy Birthday, Ina!  i just wanted to wish you a good day and a good birthday! finding you back ages ago in 2021 during stress-exams and now this will be your 5th birthday Wahtching from afar and under the sea! have a wahndonerful day ina!",
Vantablack,,"O, birthday priestess, what is your wisdom? Happy birthday, Ina!! Hope your cookies are extra delicious today, hope you'll always be miraculously preserved, and hope all of your works and plans will go as smooth as you dropping puns. Go eat grab a yummy cake (or moar cookies), have a wahnderful one!",
Deer Oh Dear,37.png,"Happy, Happy Birthday Ina! Wishing you much health & happiness, and that your special day be filled with lots of love & cake & all the best! ",
vale,,HAPPI BIRTHDAY INAA!!1!!!11,3.png
scarletfeisty,17.PNG,"Thank you providing such a highly enjoyable and comfortable space for all of us Takodachis. Happy birthday, Ina. :D",16.PNG
Suzuri,,Happy 5th Birthday Ina!!! Here's to many more birthdays with the takodachis!!! Remember to eat your favorite foods and get enough rest!!!,
Sock,60.png,"I hope you have a spud-tacular birthday Ina! 🥔
Enjoy some tasty snacks and enjoy some time relaxing~",6.png
PureTako,,"It's been two years for me to support hololive, although there have been many partings in the past two years, I'm still going to look forward and keep supporting you all! Thank you for being here and let me stay positive to face my life. Ninomae Ina'nis my forever kamioshi!!!",
Takollite,56.png,"Happy Birthday Ina! I wish you lots of good health and success!
You've been my Kami Oshi for more than 5 years now. Your streams always bring me joy and comfyness. Sadly I've been only VOD gang recently, but whenever I can, I join chat and say WAH before going to bed. Keep being you! Love Forever!",
enicholas,47.png,"Hi Ina! Happy 5th birthday! It's been an eventful year in Hololive. I'm learning my connection to y'all is more important to me than I wanted to believe and I'm glad you're here. Find time to hug those that are dear and live everyday fully. Here's to more adventures, health, and friends.",
Yuna,,"Happy Birthday Ina! , May you always be miraculously preserved and always chill, We takodachis will always support you, in screen and in stage!",23.png
Rinh,51.png,"Keep doing what you love, Ina..
cause We Are Honing ourself to be a better person for the world domINAtion",45.png
Spud Tako,10.png,Happy happy birthday Ina! Thank you so much for all the fun and memorable times you have  brought to Hololive! I can't draw well so I took a photo of the small tower of takodachi merch  that I have collected over these 5 years. Will forever support my one and only Kamioshi - Ninyomanyo Inyanyis!! ,35.png
Raven0815,,"Dear Inya,
I wish you a Happy Birthday and lots of cookies and hugs! You've come a long way since your debut and accomplished so much and we Takos are very proud of you. I'm happy to be part of the Tentacult and I will keep cheering for the chill, punny and lovable sweet potato that you are!
WAH!",
MIP,,"To our beloved potato priestess. Happy Birthday!!! Wishing you a wonderful birthday this year, stay healthy and hope you collect all Holomem hugs this year! Gotta hug em' all WAH!",
kawa,,"Ina, Happy Birthday, wahhhh ! ",81.png
Dashsnail,,,41.png
Kurosagi,61.png,HAPPY BIRTHDAY AND THANK YOU FOR BEING SUCH AN INSPIRATION FOR ARTIST!!!,49.png
Chumbeque ,,WAH Happy birthday Ina!!!I am very happy to be able to celebrate another year with you and the tentacult! Kanpai!!! (⁠≧⁠▽⁠≦⁠)💜,
Rie Cotton Cat,29.png,Happy birthday Ina! Thank you for being an inspiration to all of us <3,72.png
Zaq,,"Happy birthday Ina! I always enjoy hanging out for a comfy and cozy stream, here's to many more, cheers! 🍻",
Azafenni,,Happy Birthday Ina!!! Your art inspired me to keep going!!,24.png
teamakite,,"Happy Birthday, Ina! Wish you all the very best! c:
Thank you for being there for us and especially thank you for being you. You're a big inspiration for a lot of people out there. Here's to more fun stuff in the coming years c:",47.png
Reykhebaxh,53.png,"Happy Birthday Ina💜🍪A toast to another miraculously preserved year from you and other takos. 10Q for all of your hard work to bring joys to us, whether rain or shine. My BD art this year is related to Temari, cause i think it'd be nice to show how hard have you worked and how much we aprreciate!!",40.jpg
Melmarkt,22.png,"Happy Birthday Ina!!!
Another great year with you! A lot of things happen this year, and a lot again next year!
I wish for you all the best, happiness, fulfilment, success' but also a lot of good nap and times with your friends!
Take good care of yourself in this new year!",
BreadART,45.png,"Dear Ina, Happy Birthday!!!
Thank you for always bringing kindness and comfort to us Takos every day. Your streams and your cute smile always make me feel better and give me strength.
I hope your new year is full of happiness and laughter every single day!
I’ll always support you and love you 💜",19.jpg
anna (takotomoo),,"WAH HAPPY BIRTHDAY INA!!! = w=)b
Your streams are always so cozy and bring me peace whenever I need it
You've improved so much in singing and dancing - it really shows, and I'm so proud of you!
Because of you, we are always miraculously preserved THANK YOU <3",
bluulake,,Happy Birthday Ina! Thank you for another wonderful year of Wahs!,59.png
Tornahalo,,"Happy Birthday Ina!!! I hope your day is as special for you as you are to all of us takos!
WAH! (Wishing All Happiness)",
OK Kei,1.png,"Happy birthday, Ina!
You're doing amazing so far in this year, and I know you'll keep on doing amazing even if it gets rough!
Be sure to rest well, eat well, and give yourself a pat on the back!
Let's celebrate the day and have tons of fun the rest of the year!!!",21.png
Jhon. Palmer,41.png,"Happy Birthday Ina! ! Hope this day to be filled with happiness and love! Just as much happiness you bring us, I hope you can have it doubled! Let's cheer and celebrate for one more year! Thank you for being you!",10.jpg
Rakuse,,"I apologize in advance for my poor English hehe.
It's been almost 5 years since your debut, 5 years of sweetness and fun. I just want to thank you for all this fun and motivation that we as takodachis received from you.
I will continue to support you for all the years to come.
HAPPY BIRTHDAY!
WAH!!",7.png
Takoster,27.png,"Happy Birthday for our cutest priestess and pun queen, hope have full of takotime with ina, WAH!",
Lati,,Happy Birthday Ina my kami-oshi! ,58.png
Altthiel,,,71.jpg
notaBob,43.png,"Happy birthday Ina, WAH! Thank you for all the hard work you've poured into the community, as well as your streams, dad jokes, relatable stories, amazing art, and WAHs! I hope you enjoy your birthday, and that you get to eat lots of yummy food and have all the hugs you want!",80.png
Shokuro,49.png,"Happy Birthday Ina!!! May you find happiness, succeed in everything you hope for, and stay with us Takodachi until you grow old. WAH!!!",62.png
KeimaKatsu,,"Hi Ina, WAH! Have the Happiest Birthday! It's been 5 BDay celebrations already. Time flies so fast. Glad to be a Tako ever since the beginning. Thank you for all the hardwork and fun comfy streams over the past 5 years. Keep inspiring people with your art and always take care of yourself",
Lienou,23.png,"Hello! I hope you like my drawing, and happy birthday my priestess!",27.png
felinus-fenix,16.PNG,"Happiest of birthdays to our beloved priestess! Happy Birthday Ina! Thanks for always making us Takodachi smile, brightening our days, and giving us the strength and drive to pursue our arts! I hope you have a fantastic day and many, many more to come!",15.PNG
Apple,,Happy birthday! ,64.png
Frediloc8,54.png,"Hi Ina! I'm not really great with words, so I'll just wish you the most WAHnderful birthday ever! I hope this next year for you is one filled with fun and friends and cookies. Happy birthday!",
Slayercks,,Ina Happy Birthday! Its been a fantastic 5 years with you and the Takodachis and I'm looking to many more!,
Connan,,"Happy Birthday, Ina!! Thank you for everything you've done and accomplished so far and hope to see you continue to do much more fun and amazing things in the future, us Takodachis be with you every step of the way. Have a very WAHnderful birthday and here's to more bright futures ahead!",
Mara,39.png,HAPPY BIRTHDAY INA WE LOVE YOU!!!! ,1.png
fluffycatfish,9.png,Happy Birthday Ina! I love watching your drawing and monhun stream!! Thank you for inspiring me to draw much more and keep striving to improve. Wish you the best! :D,31.png
fluffycatfish,9.png,Happy Birthday Ina! . Thank you for always inspiring me to draw more and keep trying to improve. Your comfy streams have gotten me through some hard times. I wish you the best!!  Lots of love - a fluffy tako,31.png
Ammomagnet,,"Happy Birthday Ina! Another year has passed by, and though it's brought some changes with it, there are also things that feel the same as ever. Tentacult chief among them, still feels like home. Congrats on all your achievements this year, may there be many more next year
To the happy times ahead!",
wydken,44.png,Happy Birthday Inaaaaaaaa!!!!! Let's 五!!! It's crazy how time flies! I hope you have a wonderful day and eat lots of yummy food! =p= Love you lots!!,51.png
るかです,,💜🎉🎂🐙💜,83.png
Miri Ryllis,,"Happy birthday Ina!

Thank you for always being so comfy & lovely. Your streams always help with my anxieties & motivate me to improve myself. I ca't always watch you live anymore, but you always have a special place in my heart & I love checking your vods when I can. Keep being wonderful! ",
CYtako,72.png,Happy birthday Ina! Wah!,84.png
いろはす Irohasu,,Happy Birthday Ina!! イナちゃんお誕生日おめでとう！！今年もお誕生日をお祝いできて嬉しいです！いつも頑張ってるイナちゃん、めっちゃ好きですー！今年もイナちゃんを楽しく応援できたらいいなー！,9.PNG
Remism,,Happy Ina-day!,36.png
kipo,,Happy birthday Ina! It’s been a long time since I became a takodachi and I always look forward to this time of year! Thank you for continuing to bless us with your incredible hard work and passion and inspiring us to do the same!,
Teddy Bʕ´•ᴥ•`ʔ,0.png,,85.png
Ammomagnet,,"Happy birthday Ina! Another year gone by, and though many changes came with it, still as many things feel the same. I was glad seeing you take part in so many cool things and I hope that part won't be any different this year. The Tentacult will always be there to support you!
To a happy year ahead!",
Ithi,32.png,Happy birthday! Have we told you lately that we love and appreciate you a lot? If not then we will tell you a lot more. May your well of creativity never run dry!,25.png
McArkus,65.png,Hi Ina! Congratulations on your birthday! This year was very fun to hang around in your streams and appreciate how you create a very cozy environment for everyone. Wish you a great day and hope all your projects go well on your end and your streams always comfy.,
,,Happy birthday!,
Apple,,Happy birthday!,64.png
Lesu,,"Happy Birthday Ina!! Thank you for being an inspiration and for entertaining us for many years, wish you have the best day ever and all your wishes come true! 💜💜💜💜♡(｡ ❛ᴗ❛ ｡)♡",17.jpg
Chuunilord,,"Happy birthday to the most wonderful ""human"" in this world!
Thank you so so much for all these years of being my kamioshi and my inspiration to get better at art little by little, I hope you like what I drew for you this year!",66.jpg
Aznsoulreaper,,"Happy Birthday Ina! I've always enjoyed your cooking streams, so I was inspired to make fruit tarts from scratch! Since it's your 5th birthday with Hololive, I wanted to try experimenting with fruit that was in your color scheme. It's my first time using mango and it ended up looking scuffed tehe~",
Mango Konata,21.png,"happy birthday ina!!! you are such a huge inspiration to me as an artist! you motivate me to work harder, but to also just enjoy the process of making art! i hope you have a WAHnderful rest of your morning afternoon evening and enjoy your birthday!",42.png
Corp.Shephard,7.png,"Happy Birthday Ina!  It's actually my birthday when I am writing this... I ate too much cake now and turned into a potato. Perhaps I take after my Oshi...

You deserve so much for your hard work, so make sure you get something delicious too! You're getting some rest too, right?  We love you!",
jle,,"Happy birthday Ina!
It’s been a busy year but I’m glad you’ve been able to get some rest earlier. I’m looking forward to all you have planned in the future!",
Hermit Purple,58.png,"Happy Birthday Ina!!
Thank you for being there for us over all these years! I wanted to draw something that expresses my feelings: the future may be unclear, but staying together helps being optimistic. I'm going to support you with everything I have from now on too! = w=)9",29.png
🦋NEETKaguya🦋,,"Congratulations for the 6th Bday my priestess.Pretty much thanks for the accompanying and all your streams artworks original songs and lives, they are all amazing and memorable. I’m so appreciate to being a Tacodachi here. 💜
hope you keep doing well and staying healthy. Happy Birthday Ina, WAH!💜",
Teo,63.png,"Happy Birthday, Ina!
I hope your day is filled with cookies, cozy vibes, and lots of Tako-love!
Thanks for all the smiles and comfy streams, may your Vtuber journey continue to grow even bigger (like a cookie expanding in the oven)!
Keep being amazing, priestess! ",55.png
NxKarim,24.png,"You give us gifts every day, now it's our turn!!!
Happy Birthday Inaa!!!!!!!!",53.png
Chibi RoggianX,36.png,"Happy Birthday, Ina!  I hope you have a WAHnderful day and able to eat lots of good food!",22.png
Komilius,,happy birthday to our dear priestess!!! ( = ´ w `=),4.png
skop_107,,"Happy Birthday Ina! I'm not very good at words, but I would like to say thank you. Your streams always cheer me up, especially after a long day, and you always inspire me to work hard towards my goals. Thank you for being a great inspiration, and hope you have a wahnderful birthday!",57.png
Astraea,3.png,,20.png
Lyudmilia,,"Happy Birthday Ina!!! It feels like yesterday we celebrated your birthday! It's has been a treat to watch you grow as a streamer this past year! The busier life gets, the more I appreciate your laid back streams. They're a way to remind me to slow down and appreciate these small joys in the present. I always appreciate all the work you do for us takos. May you have a wonderful and blessed birthday!! Much love, Lyudmilia ",
