user,icon,message,image
Colouss,Yuul B. Tako,Congratz on your first anniversary! Your comfy energy has been a shining beacon during these stressful times and has helped me through a lot of days. Here's to another year with comfy Ina!,
Korou,Takodachi,"Hello Ina! If you're reading this then I'm lucky for my message to get chosen! I just want to thank you for inspiring me to become an artist! (I'm still a beginner) I remember back then I was not sure what I'll do for the future, like I never even wanted to do something. But you inspired me to become an artist! I was drawing before I even knew you but it was never fun. I just drew because people told me I have to do it, but you gave me the fun of drawing! Thank you and happy 1st anniversary!",THANKYOUINAAA_-_Korou.jpg
CamTro,Tophat Tako,Happy 1 Year Anniversary! You've given me some really happy memories and chilled vibes during the last year and you've helped me through some tough times. Thank you for everything and here's to another year :).,
ColdMoviez,Takodachi,"Happy first anniversary Ina! You've given me and many others hours of entertainment, from Call of Cthulhu to Wonderful 101, you've made every stream an absolute blast to watch! You've also shown us your passion for drawing and have allowed many of us to reignite our own passion! I look forward to future Ina and the surprises that await us in the future!  ",
Sigelfate,Tako Ina,"Hi Ina! Congrats on your 1st Anniversary! I always look forward to your streams even though it is in a odd time zone for me. Your voice, the puns, the community, they're all the best! Thank you for being here for us all! Love you and looking forward to more streams ahead! Can't wait to hug both KDTD and plushies when it arrives!! *Waits in anticipation for a Ina plushie too~*",
Midouri,Takomfy,"Hello, Ina! 
Wow. A year already. What a ride it's been. All I can say is thank you so much for being such a motivator to keep on keeping on. The levels of comfy, skills, & determination you display is truly inspiring to so many of us. I definitely needed someone like you at the time of your debut. I've tried out drawing, it's very fun indeed! You've fostered such a cozy career and community, it is with great honor we are here to see your 1 year, and here's to more! We love you, Ina. Thank you.",Ina_Anniversary_2021_-_Master_Terra.png
Gunframe,Yuul B. Tako,"Hi, Ina! It's been awhile since you first ""wah'd"" into my life and what a joy it has been. It's been such a treasure to spend my days laughing and sharing so many moments with you as a part of your Takodachi audience. I want to thank you for being such a warm light in my life this past year. I hope you know how much you mean to all of us and that your life is filled with joy. ",
Glaedr58,Tophat Tako,Thank you so much for this year of blessing Ina. I can't catch every stream but every time I come to one I feel like I'm returning home. Here's to many more years of wah!,
Mothy,Tophat Tako,"Happy anniversary Ina! You've been my best friend, comfort, and inspiration for the past 12 months, and needless to say you've made a huge impact in my life. Thank you so much, for being you! Much love from me and the other takodachis~ 💜 P.S. plushie ina when?",FumoIna_-_Rolled_Ice_Cream.png
Jason Leung,Yuul B. Tako,"Congratz for 1st anniversary~ It is a comfy and happy and wonderful year with you Ina~ 10Q for all the ""WAH""s and ""10Q""s and drawings and puns you have brought to us~ We takodachis will always here to support you~",
son,Takodachi,"Hello.
I am one of Takodachi watching Ina in Korea.
Thanks to Ina, I was happy for a year.
Ina is so attractive that she crosses the language barrier.
Thanks to Ina, I was able to reach my dream.
I hope Ina can achieve her dream, too.
I will continue to support you!
Congratulations on your first inaversary!",
vegas,Tako Gura (Chum Tako),"I can't believe it's almost been a year since you (and the rest of Hololive EN) debuted! I have been watching your content since approximately late September-early October (not fully sure) and I have enjoyed doing so! I hope we get to see more fun streams from you in the coming years, Ina!",
Zhang,Yuul B. Tako,"Hi Ina ! Wow what a ride huh ? It's already been one year since you debuted with your fellow HoloMyth members and I can say that it's just been the most amazing year ever, even with all that's going on you motivated me, and made me forget my troubles everytime that you streamed, I was able to find a job, lose weight, and have something to look for before bed all thanks to you ! Thank you for being you Ina and here's to another year of streams ! CHEERS !!! WAH !",
pokey_junior,Yuul B. Tako,Ina you are truly a blessing to this world. Your streams bring me tremendous joy and have always brightened my day. Thank you for being you. Never give up on your dreams!,
Bork,Tako Amelia (Takoson),"Happy anniversary Ina! Your streams help me get through tough days and they’re always entertaining, here’s to another year of fun streams!",
Kotodachi,Tako Ross,"Wah! Hello dearest priestess Ninomae Ina'nis! I hope your 1st debut anniversary is full of love from the ofther EN girls and the JP/ID girls! Who knows, maybe Nenechi might have a surprise for you!",
Alphy,Mori Tako,Happy birthday Ina! Thank you for a full year of comfy streams and positive vibes. I wish you success in whatever you do!,
LordBeefcake,Wonder Tako,"Thanks for all the work you do. I would never of imagined myself being this involved in a YouTube community, let alone a vtuber community. It's been a great year and I can't wait to see how you flourish in the future. ",
AlbertScoot,Tophat Tako,"You are a source of Inaspiration and calm. I have a genuine appreciation and fondness for you as an idol. I never really understood the appeal of idols before, I completely get it now thanks to you. I hope you continue to find joy in life as we find joy in watching you. #streamviolet",
Shinkai Setsuna,Robodachi,"10Q so much for being you, Ina! You are a WAHnderful hooman, and you bring joy and laughter to my life every time you stream! I can't say 10Q enough for all of the hard work that you put into Violet, all of the wallpapers you've created, and everything else. 10Q! ",
PixyTokisaki14,Tako Ina,Hi ina its already been a year and what a wonderful journey it has been for you and us takodachis i hope we get to see more of you for many many more years we love you inaaaa 🤗🤗,
pking,Takodachi,I thank you for you and your streams helping me not feel lonely during my silent times building gunpla! PS gunpla huilding stream some day perhaps?,Screenshot_20210813-204802_Sketchbook_-_MDViper.jpg
EsGiEl,Yuul B. Tako,"Congratulations Ina! It's been quite the wah-nderful ride, huh? It's been fun seeing you, your channel, and your art expand over the past twelve months. You're always fun to watch and watching you draw has improved my own art! Keep being the comfiest vtuber. Sincerely, Takodachi #0037",
Wiggles,Takodachi,WAH! Thank you Ina-sama for spending an entire year with us and letting us be around you. I love seeing the art you make and the streams you air. Here's to another year of being your takodachi.,
Kami,Tophat Tako,"Hello Ina! Congratulations on your one year anniversary of being in Hololive! I always look forward to your streams as they are relaxing and fun to watch. You were the first membership I had ever joined and also your birthday goods were the first ever Hololive merch I had ever bought! You inspire me to constantly improve and never fail to make me laugh. Have a great anniversary Ina, I look forward to seeing everything else you do in the future! WAH!",
KitoTheTako,Takodachi,"Hi Ina! Congrats for the 1st year!! 
Thanks for all the comfy streams and inspiring so many people. 
Personally, always wanted to make a videogame, but never had the motivation to do it. You inspired me to say to myself ""just do it"", so I'm going to do it!
Also, never been fond of drawing, but now I kinda like it! So I'm going to use my new developing skill to make my first game!!
What do you think of a Takodachi gacha game?
Anyway, thank you so much for been yourself. WAH!",
MattyMcChicken,Takodachi,"Inaaa!!! Can't believe it's already been a year! I'm so proud of how far you've come, and I look forward to many more years! World domINAtion! 💜🐙🌎",
Shiro,Tako Kiara (Tako Bell),I like puns they made me laugh alot hope you make more puns,
Maki,Mori Tako,"Wah! Time sure flies by isn't it ina? I can't beleive it's been a year since you and your genmates debuted already! I've been watching you since january and you really grew to be one of my favorite holomems because of your huge ammount of wholesomeness, your streams are fun to watch and your relationship with gen 5 put many smiles at my face, also your puns are really funny as well.keep being the awesome tako that you are, you're a great person, and i do wish only for the best to your career!",
Duwan,Robodachi,"Happy Debut Anniversary, Ina! 10Q for making our lives a little kinder and a lot more comfy. Thank you for spending time with us for a whole year!

I hope we can make you proud of us Takos as much as we are proud of you! W~A~H!",
Just Bruni,Yuul B. Tako,HAPPY ANNIVERSARY! It's been a good year watching you all.,Illustration193_-_Bruni_Wight.png
Sensuifu,Mori Tako,"Hi Ina! Congratulations on the 1 year anniversary! You're a WAHnderful part of the vtuber community that never fails to be wholesome and a joy to watch. If I were needing something to really relax to, I'd first consider watching your streams. Your gift of soothing and relieving aches and pains, no matter what they are, is a talent you should be proud of. Your artwork is awesome, your streams are adorable....you're simply the cutest tako to have ever graced this planet. Cheers to many more! ",
kazma,Wonder Tako,"Thank you for giving so many of us a calm, warm place to hang out and enjoy the lovely community over the past year! You've inspired so many to pick up or keep going with their art, and I hope you keep following your passion and create even more incredible memories with all of us",
Ayorea,Takodachi,"Happy 1st anniversary Ina!!! I remember checking out your debut stream live on a whim and I got so hooked on your voice and the comfy vibes you radiate. I even got inspired to get back into drawing after I started watching your art streams too! I feel like I owe you so much for getting me through a buncha depressing stuff.. so I'm just really thankful and happy for you! Cheers to a year of our favorite tako priestess :D

- from a proud takodachi",
,Robodachi,"I hope she can read this but i love how she always being so sporting and kalm all the time hehe, on her anniversary i would love to draw her on drawing apps , as for now i can only draw on paper :(, anyway, every takodachis will always support u, our priestess Ninomae Inanis, thank you for always play along with us :D, thats what make ina so fun to be with, thats all. thanks ina ♡♡♡♡",
takospec,Robodachi,"Hello Ina, though seems as if a year has passed, it doesn't feel like it. I would like to say congratulations on your 1st anniversary I hope that you will grow even bigger in the future and you achieve your goals! Even though I wasn't there for your debut you became one of my favorite most favorite VTubers out there. Here is a handmade drawing to celebrate. Thank you for everything Ina! Wah!",drawing_-_takospec.jpg
Kichiro,Takodachi,"Dear Ina

I really love the work that you have done, your a very chill and funny tako
and thanks to you i have started drawing again 
i'm looking forward to you future streams and art work
it's a very short massage but it is what it is 
i hope your doing well, take care and stay safe

happy inaversary
                                                                                                                                           -takodachi",HappyInaversary_-_Anime_Gamer.png
Sprinkles,Takodachi,Hey Ina! Congrats on 1 year! Thank you for dragging me down this wonderful rabbit hole! Good luck with #2 and all years to come!,
Chintendo,Takodachi,"I can't describe how much you've made my life happier! I'm grateful to be able to watch and interact with you and am hoping to continue this as I will be back in college studying computer science! To celebrate the release of Violet, I created Minecraft map art on the Tentacult Minecraft server and wanted to share it with you! Made using over 60k blocks and love! I can't wait to see what you have planned for in the future! Thank you forever, Ina. I will continue supporting you for inaternity! 💜",violetMapArt1_-_Chintendo.png
Eien,Takodachi,"It has already been 1 year, huh? 1 year of absolute cuteness and comfiness. Now that we're getting closer to 1st annINAversary i can say for sure that world domINAtion is not that far. Thank you for blessing us with the best conent possible and being who you are. Happy anniversary!",
Matt,Yuul B. Tako,Happy Wah-ne year anniversary Ina! Thank you for all the comfy streams and creative atmosphere that got me taking baby steps into the art field. Ina you are such a hard worker and so kind that it makes me want to be a better person! Thank you for all the hard work and we'll be looking forward to the oncoming years! The takodachis and me will be supporting you 100% of the way!,Happy_1_year_ina_-_Datadraino.png
,Tako Ina,"I still couldn't believe it's about Ina's 1st anniversary so I just wanna congratulate her, 1 year down, more to go ",
Mid pac,Takodachi,I cant believe its already time for the 1st debut anniversary. Time flys by way to fast when your having fun. I look forward to all the fun that awaits us in the future. Viva il tentaculto! (Italian for long live the tentacult!) You have Italy backing you for world domination! ,
Rinri,Tako Ina,Congratulation 1st anniversary Ina!!!. I'm proud to say that always watch you live even you offten stream around 3am in my time zone lol. Thanks for the comfy stream. And thanks for inspiring me to do drawing. Look forward to your future achievement. I Love You XD,inanaa_-_Myu_Sleepless_Channel.jpg
Grievly,Tophat Tako,"Wah! I can’t believe it’s been a year. You were the first v-tuber I truly fell in love with. Your stream brings wonders from your undying cuteness. It’s incredible how your streams can bring such happiness and brighten someone’s day with just a simple smile. I hope you never stop streaming and bringing happiness to people. 
From the bottom of my heart, Thanks A Lot",
Rifty,Tako Ross,"Inaaa! It has been 1 year since debut, I'm really glad to spend this year and next year with you too! I hope for a good year, next year and hopefuly we get to see your reaction on your debut. It has been a rough year for me but your streams really are serene that i forget all the troubles. I'm looking forward for cover songs, and collabs and all the fun things you'll do in the future! It has been said a billion times but not enough, thank you ina please take care of us in the future as well!
WAH",IMG-20210803-WA0003_-_Rift_Baboya.jpg
THE BEAT WIZARD,Yuul B. Tako,"Congratulations on your 1 year debut INAversary! Thank you for being such a delight and an inspiration to Takodachis around the world, we look forward to more of your accomplishments and shenanigans in the future!
P.S. Violet is such a banger, the 2 month wait was definitely worth it! I'll loop this for the rest of my life now lol",
Toji,Robodachi,"Happy 1 year Ina! Thanks for the past year of streams, each one of your streams made my days a little brighter and I always look forward to every takotime, I can't wait for what the coming year has instore for the tentacult, I wish great things for you and the rest of Hololive  =w=)7 ",
Sora_Doodlez,Tako Amelia (Takoson),"Hi Ina, congratulations on 1 whole year! HoloEN was my introduction to hololive :D",702A80DA-0CE8-4291-90C5-A54E09A855F3_-_SoraDoesGaming.jpeg
RubberDucky,Takodachi,Thank you for always making such fun and wholesome streams. You helped me through a time of despair by discovering hololive.,
NamelessTakodachi,Takodachi,"Thank you for everything you've done in the year since your debut, and I hope you enjoy hanging out with us as much as we love hanging out with you! I considered filling this message with puns in commemoration of your quick wit, but felt that wouldn't convey my appreciation in its entirety. Here's to another year of our beloved priestess! = w=)7",
Reeniko,Tako Ina,"Ina, it's been WAHn WAHnderful year with you. Your streams are the comfiest streams, and I love watching you.  May we have many more years with you as our Puncho.",
a crocodile ,Tako Ross,"Happy 1 year anniversary Inaaaaa , 1 year had passed with a lot of memory and fun time and I hope we all will spend even more time having fun in the future , we'll looking forward to it !!!!",Ina_new_outfit__rendered___Glasses_-_Copy_-_Bun_Bun.png
Dan (Pumpkin_knight),Takodachi,"Thank you Ina for a Wahderful year... You're the kind of friend that always has insightful conversations , or silly topics . That always lights my day with your AMEzing puns. and you have cheered me up to learn to draw, at my own pace. Thank you for being such a fantastic Hooman. ",
Norenche,Robodachi,"Congratulations on your 1st Inaversary of your debut! Watching your streams always make me happy and I love having them on while I work on my gunpla. I wanted to make a new custom gunpla inspired on you, but I'm stumped on which one to use as a base. But I still want to congratulate you! Thanks a lot for your streams! And also... WAH!",IMG_0757N_-_Ferran_Beltran.JPG
Aia,Takodachi,"Congrat, Ina!!! I'm more of a lowkey fan that only tunes in to see what's poppin'. Your streams have helped me along for the past year. Whenever I'm feeling lonely, I would watch. Whenever I needed something to listen to while I was doing work, I would watch. Your voice is probably the most soothing and have never failed to calm me down whenever I was feeling negative. Here's to more years with you and us, Ina. Congratulations again!! All the love. :)",
Akeidas,Tophat Tako,Hina Im student listener who live in Korea. Your streaming become my healing place. Thanks for your everything and I celebrate your 1st anniversary. (Im not good at english Sorry ToT),
Peroni,Tako Kiara (Tako Bell),"I can't believe It's already been a year since the debut of the Holomyth! and Ina has been in our speical place of our heart, letting us have inspirations and relaxation. No doubt we appreciate her and continue to support! 10Q 10Q = w=)7",
Hooligan,Robodachi,Hi Ina! I would like to give a huge thanks to you for all the times you have made me laugh and smile. Your streams always make my day better and are always fun to watch. Thank you!,
Nep (Author-kun),Tophat Tako,"On this blessed day we give thanks to the Priestess, that her summoning might bring both comfy and wholesome, puns and sanity checks, and that many years in the cult may follow. Iä! Iä! Ina'nis fhtagn!",
Sciky,Yuul B. Tako,Hi Ina and congratz on the anniversary! Thank you for the year filled of comfy and funny tako vibes ❤ Let's have even more fun this year with all the takodachis!,
Syrup,Tako Ross,"Congratulations! Ina. I love your drawing stream and every stream. Dad joke is also love! Sadly I can see only archive as my sleep time. But every stream is gold. Your passion and love send through us. Love and regards, ",
Unx,Tako Ina,"Happy 1st Anniversary Ina, having you along with the other En Members has been great over the year and I hope more to come! Wah! Have a good day and year!",
yamiRic,Robodachi,"WAH! Dear Priestess.. it has been 1 year since we met. Thank you for continuing be our inspiration, whether from your art, gaming, singing, or even chill talk (and watchalong). I'm excited to accompany you to the next journey while streaming Violet. Stay chill and I hope you will reach a lot of heights in upcoming future.. ",
Yamato,Takodachi,"Ina Inaa Inaaa~
time flies when you're having fun... especially when I am watching your streams.
I want to thank you, from the bottom of my heart, for the awesome time and the great memories you created since your debut. Seeing you work so hard every day is really inspiring and motivates me to push myself and do the same!
You made the last 12 months so enjoyable, and I am looking forward to many more!
World domINAtion (slowly).
I can't say it inaff times...10Q 10Q 10Q Ina <3.",
Spammy,Tako Ross,"Happy 1st year anniversary!

I'm pretty new to Hololive (subbed and joined during the half-year anniversary stream), but even as a new fan, I can see the effort you (and the other Hololive members) put into your content! Your new song, your long streams: we want you to know that we appreciate that, all of that. I may have not been there since the start, and I may not know all the inside jokes, but I hope to continue to support whatever you do!

Thank you for the streams, priestess!",584578_-_SpammyCalvin_L-coma.jpg
Tokirazu,Mori Tako,"Happy anniversary Ina!! Thank you so much for the fun streams, we're looking forward for more. More birthdays and anniversary to come and it'll be a long journey! I hope that you'll be safe while walking into that endless path.",
FlameGraphics,Yuul B. Tako,Ina! Thanks for being a constant source of inspiration for me as an artist! Your streams have always given me a good time and your art always pushes me to improve my own art skills as well. I hope you’ve thoroughly enjoyed the past year and that you continue streaming for more years to come! ,384EF230-986B-452B-8EFF-08639ADD59F8_-_Flame_Graphics.jpeg
Mqwere,Robodachi,"Ina, you have been my Oshi since the day of your debut. You are such a gentle person and your voice and behaviour are so soothing, that you can really make one forget about the everyday struggles. On this very special day, I want to thank you for the whole year of being one of the reasons I kept going forward. But I also hope that you will always be able the same kind of warmth and support from us, takodachis. Cheers to many more puns, kabedon'ts and emotional moments together, Ina!
INA BANZAI",
Kumo,Tako Ina,"WAH! Hi Ina, happy birthday to you!
I hope you're fine, take care of Tako and all the HoloJP and EN... ",
Mr Limbo Prime,Tophat Tako,Congratulations on your anniversary of debut Ina. You'll succeed your world domINAtion and thank you for your comfy streams.,
EmKun,Tophat Tako,Congratulations Ina for your 1st Debut Anniversary! I'm so happy for you. Being a Takodachi since the beginning until now also. Keep up the good work ! ,
bigbrain137,Violet Tako,"Congrats on reaching 1 year at Hololive Ina! Since the beginning I really liked the comfy and calm energy you bring to the stream. You started perfectly in the time Covid was happening and I really appreciated the stream, they made my day a lot better in that period and they still do!! So keep up the good work and good luck in your future streams! 💜💜💜",
micah,Takodachi,"Hi Ina! I’m really blessed to have spent a year with you. Thank you for saving us Takodachis, and for joining Hololive. I hope you enjoyed streaming (for a year now, WAH-aw) as much as we enjoyed spending time with you. HoloMyth will forever be a part of me and I am proud to be part of a WAH-nderful community you have created. You are amazing and loved. We love you and I wish you well for your future endeavors.  Here’s to world domination!",
MoyAnto,Takodachi,"Thank's for being an inspiration in making me wanting to try to do new stuff and to take care of myself, keep doing what you do, You truly are someone to admire, not only for me, but for a ton of other Takodachi's. Ganbate~ne.",Tako_s_Bizzarre_Adventure_-_Moy_Anto.png
Kazie,Takodachi,"Thank you Ina for all the comfy and fun stream! 💜Hope we will have many more years together, and lots of cookies 🍪",20210814_125356_-_Petter_Salminen.jpg
Luminous12397,Tophat Tako,"Happy wah year inaversary!
Thank you for bringing joy to so many peoples lives and encouraging us to push ourselves to work on out talents.
Its truly been a honour watching you grow and I cant wait to see what the next year will bring (hopefully world domination) ^-^",
Zhoril,Yuul B. Tako,"Happy 1st Anniversary! It's hard to believe that the takodachis have been with the priestess for a year now! So many streams and days passed by. It's so nice to see that throughout the year, there has been improvements to both normal streams and karaoke streams! I hope for more years and happy moments to come!",
Steel,Robodachi,"Happy Anniversary, Ina! Looking forward to your new projects and videos in the future!",
,Yuul B. Tako,"ina, happy 1st anniversary! although i did not start watching your channel from the start, you are one of my favourite vtubers and will continue to support you even though i cannot superchat (im a student so uh yea)",
Kasu,Takodachi,"Heya Ina ! Its already been a year, time sure flies eh ? On a more serious note tho, thank you for this first year, your streams and your overall joy pushed me to better myself, and thanks to all of those I recently got my very first job, which obviously means more superchats humu. I don't really know how else to express my gratitude, so I'll finish with a last thank you, and to many more years !",
,Tako Amelia (Takoson),"Hey Ina, on behalf of all takodachis thank you so much. You have made such a huge impact, and brought joy to so many people’s lives. Keep being your amazing self and we will always be here to support you. Also your puns are top notch, they always make my day.",
HeavenToast,Takodachi,"Wah! Hi Ina, (if you're reading this) I've only been watching for a small time but I love how your stream vibe is a comfy calming place, It's already been a year since your debut, time flies! We all want to thank you for being such a great streamer!",
Mudskie,Tako Ina,Henlo Ina!! Happy 1st Anniversary!!! You're definitely one of the most relaxed vtubers I watched and I like it because it gave me more comfort than ever like watching your streams and archives💜💜💜 Thank you for entertaining and teaching us art!!!💜💜💜,
Maiden,Yuul B. Tako,"Inaaaa!

I would like to thank you for your existence. I'm in my 4th year in college and things have been stressful, but I have your streams and comfy presence to calm me down. I honestly did not think you would be my favorite out of all the vtubers I watch (I've fallen in the rabbit hole and I can't get up!) but your words and the stories you share sometimes hits a little too close to home, and it makes me reflect a lot about my self and I find that really helpful.

Never stop being you! = w=)7",
Speedyboi,Takodachi,Happy Anniversary Ina! You are so cool and your streams really make my day! Takodachis forever! :D,
Cptcoconuts,Takodachi,"Before I started to watch hololive the pandemic was a constant repeat of the same day without any progress. I started with Coco Kaichou and immediately my interest for hololive sparked but I can't say I didn't fall into the rabbit whole until Ina debuted. From all the girls in holomyth Ina called out to me the most and now she is my ultimate bias. I just would like to say that I love all you do, I'll keep on watching until the very end. ""Eres estupenda y me encanta tu wah""! ",IMG_20210814_102007_-_.jpg
,Tako Kiara (Tako Bell),"Congratulations on one year of Hololive, Ina! You've accomplished so much this year, but perhaps most impressive of all is the kind, comfortable community you've built up. I look forward to everything you do in the future!",
Gkald,Yuul B. Tako,"Congratulation your 1st Inaversary Ina! You're stream is always made me happy. But it is difficult to watch the stream due to the jet lag. Although it is small, I also made fan art. The quality is not good, but I did my best to make it. Once again, congratulations your 1st anniversary, and I'll go to stream violet. Have a nice day! ByIna(Bye Ina)! Wah:D",inaversary_2_-_Gkadlde.png
YllwRice ライス,Mori Tako,"Wah! Congratulations on the 1 year anniversary Ina! Although I joined the Tentacult pretty late, I've been having so much fun. You've inspired me to pick up gunpla building again and I tried painting for the first time ever. I hope you continue to enjoy streaming and continue to inspire takodachis everywhere.",
Rapitor,Tophat Tako,I cant believe it has already been a year! Each and every one of your streams have provided comfort and joy in a time where that is in short supply. Congrats to you and everyone else in Myth on an extremely successful first year. Here's to many more! WAH!,
Tyler,Tophat Tako,"Dear, Ninomae Ina'nis

I would like to use this time to offer my sincerest congratulations upon a successful year of streaming and idol activities. I have been following your career since day one, and I am proud to have seen your growth with my own eyes. My young friend, you have been a delight to watch on every single stream. You have captivated me with your kindness, humor, talent, and creativity. You have blessed so many with your wahnderful streams.

Sincerely, 
a grateful takodachi",
Ecute,Mori Tako,"Hey Ina if you’re reading this, you’re really cool! I love your art, music, and personality. I look up to you, as I do to Mori. So, keep up the good work!! Wah all the wayyyyy! :)",AD5F4106-58D0-4F14-9AC9-7756BFA74140_-_Petey_Pete.jpeg
Draggy,Yuul B. Tako,One cycle less to World DomINAtion! Inaaaaaaaaa~,
